order_id,order_date,customer_name,email,city,state,product_name,category,quantity,unit_price,item_total,order_total,order_status,payment_method,payment_date,payment_status
55,2024-11-09,Ritu Singh,ritu.singh@gmail.com,Lucknow,Uttar Pradesh,OnePlus Nord Buds 2,Electronics,1,2999,2999,4998,Delivered,Credit Card,2024-11-09,Success
11,2024-11-08,Karan Mehta,karan.mehta@gmail.com,Ahmedabad,Gujarat,Cello Opalware Dinner Set,Home & Kitchen,1,1599,1599,1599,Delivered,Cash on Delivery,2024-11-08,Success
12,2024-11-08,Pooja Joshi,pooja.joshi@gmail.com,Mumbai,Maharashtra,Peter England Formal Shirt,Fashion,2,1399,2798,8398,Shipped,UPI,2024-11-08,Success
12,2024-11-08,Pooja Joshi,pooja.joshi@gmail.com,Mumbai,Maharashtra,JBL Go 3 Speaker,Electronics,2,2799,5598,8398,Shipped,UPI,2024-11-08,Success
52,2024-11-08,Ashish Kumar,ashish.kumar@gmail.com,Patna,Bihar,Milton Thermosteel Flask,Home & Kitchen,1,699,699,699,Delivered,Debit Card,2024-11-08,Success
52,2024-11-08,Ashish Kumar,ashish.kumar@gmail.com,Patna,Bihar,Milton Thermosteel Flask,Home & Kitchen,1,699,699,699,Delivered,Debit Card,2024-11-08,Success
53,2024-11-08,Sonali Thakur,sonali.thakur@gmail.com,Patna,Bihar,Samsung Galaxy S23,Electronics,1,74999,74999,13498,Delivered,Net Banking,2024-11-08,Success
53,2024-11-08,Sonali Thakur,sonali.thakur@gmail.com,Patna,Bihar,OnePlus Nord Buds 2,Electronics,2,2999,5998,13498,Delivered,Net Banking,2024-11-08,Success
53,2024-11-08,Sonali Thakur,sonali.thakur@gmail.com,Patna,Bihar,Raymond Formal Trousers,Fashion,2,2799,5598,13498,Delivered,Net Banking,2024-11-08,Success
9,2024-11-07,Sanjay Rao,sanjay.rao@gmail.com,Chennai,Tamil Nadu,Pigeon Pressure Cooker 5L,Home & Kitchen,1,1899,1899,1899,Delivered,UPI,2024-11-07,Success
10,2024-11-07,Meera Iyer,meera.iyer@hotmail.com,Bangalore,Karnataka,Adidas Running Shoes,Fashion,2,4999,9998,9998,Delivered,Debit Card,2024-11-07,Success
50,2024-11-07,Tarun Bansal,tarun.bansal@gmail.com,Jaipur,Rajasthan,Woodland Leather Wallet,Fashion,1,1299,1299,1299,Delivered,Cash on Delivery,2024-11-07,Success
50,2024-11-07,Tarun Bansal,tarun.bansal@gmail.com,Jaipur,Rajasthan,HP DeskJet Printer,Electronics,1,4999,4999,1299,Delivered,Cash on Delivery,2024-11-07,Success
51,2024-11-07,Megha Saxena,megha.saxena@hotmail.com,Lucknow,Uttar Pradesh,Adidas Running Shoes,Fashion,2,4999,9998,9998,Delivered,UPI,2024-11-07,Success
51,2024-11-07,Megha Saxena,megha.saxena@hotmail.com,Lucknow,Uttar Pradesh,Allen Solly Women's Top,Fashion,1,899,899,9998,Delivered,UPI,2024-11-07,Success
8,2024-11-06,Anjali Desai,anjali.desai@gmail.com,Pune,Maharashtra,Pigeon Pressure Cooker 5L,Home & Kitchen,1,1899,1899,3698,Shipped,Credit Card,2024-11-06,Success
8,2024-11-06,Anjali Desai,anjali.desai@gmail.com,Pune,Maharashtra,Cello Opalware Dinner Set,Home & Kitchen,1,1799,1799,3698,Shipped,Credit Card,2024-11-06,Success
48,2024-11-06,Siddharth Shah,siddharth.shah@yahoo.com,Ahmedabad,Gujarat,Raymond Formal Trousers,Fashion,1,2799,2799,2799,Shipped,Credit Card,2024-11-06,Success
48,2024-11-06,Siddharth Shah,siddharth.shah@yahoo.com,Ahmedabad,Gujarat,Bajaj Majesty RCX 5 Rice Cooker,Home & Kitchen,1,2199,2199,2799,Shipped,Credit Card,2024-11-06,Success
49,2024-11-06,Aarti Pillai,aarti.pillai@gmail.com,Chennai,Tamil Nadu,Noise ColorFit Pro 4,Electronics,1,3499,3499,5348,Delivered,UPI,2024-11-06,Success
49,2024-11-06,Aarti Pillai,aarti.pillai@gmail.com,Chennai,Tamil Nadu,Boat Airdopes 141,Electronics,1,1849,1849,5348,Delivered,UPI,2024-11-06,Success
49,2024-11-06,Aarti Pillai,aarti.pillai@gmail.com,Chennai,Tamil Nadu,Logitech MX Master 3 Mouse,Electronics,2,7999,15998,5348,Delivered,UPI,2024-11-06,Success
6,2024-11-05,Kavita Nair,kavita.nair@gmail.com,Kochi,Kerala,OnePlus Nord Buds 2,Electronics,1,2999,2999,4498,Processing,UPI,2024-11-05,Pending
